ID,BUS_PERCENT,STAY_C,PROPLOYALTY,PRICE_INDEX,LEADTIME,CRO_BOOK_PCT,SUCCESS_B,POINTS_EARNEDPERREV,MIDSCALE_PCT,UPSCALE_PCT,EXT_STAY_PCT,COPARTNER_B,AIRPORT_PCT,RESORT_PCT,SUBURBAN_PCT,SMALLTOWN_PCT,URBAN_PCT,ADJMS_B,DIST1_PCT,WEEKENDS_PCT,US_US_PCT,MEMBER_CLUB,POINTS_COLLECTOR,GDS_BOOK_PCT,WEB_BOOK_PCT,P_REDEEM_B,REGISTRATION_B,NIGHTSPERSTAY,REVPERNIGHT
181465,0,1,1,1.053740643,7,1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,63
244188,0.8,2,0.5,0.936966515,9,0,0,10.01385042,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0.5,0,0,0,2.5,72.2
312014,0,1,1,1.412527181,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0.666666667,1,1,1,0,0,0,1,3,134
46073,0,3,0.333333333,1.348112272,-1,0,0,10.00263852,1,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0.666666667,1,1,0,0,0,0,1,126.3333333
122332,0,2,1,1.811101902,1,1,0,5,0,0,1,0,0,0,1,0,0,0,0,0.6,1,1,1,0,0,0,0,2.5,105.6
345901,0.714285714,3,0.333333333,0.990086009,18.33333333,0,0,5.394736842,0.333333333,0.666666667,0,0,0,0,0.333333333,0,0.333333333,0,0.333333333,0.285714286,0.666666667,1,1,0.666666667,0.333333333,0,0,2.333333333,195.4285714
273741,0,3,0.333333333,1.112776199,1,0,0,5.428571429,1,0,0,0,0,0,0.666666667,0.333333333,0,0,1,0,1,1,1,0,0,0,0,1.333333333,87.5
377292,0,2,0.5,0.914204239,-0.5,0,0,2.86389414,1,0,0,0,0,0,0.5,0,0.5,0,0,0.75,0,1,1,0,0,0,0,2,132.25
254904,1,1,1,1.183839775,0,0,0,10.03809524,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,105
186730,0,1,1,0.87177379,9,0,0,19.0505618,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,2,89
272612,0.111111111,2,0.5,1.514153484,0,0,0,10,1,0,0,0,0.5,0,0,0.5,0,0,0,0.444444444,1,1,1,0,0,0,0,4.5,123
